date,suspect,num_bad_aircraft_hexes,source
2023-08-16,false,525,adsbexchange
2023-08-17,false,531,adsbexchange
2023-08-18,false,515,adsbexchange
2023-08-19,false,528,adsbexchange
2023-08-20,false,488,adsbexchange
2023-08-21,false,459,adsbexchange
2023-08-22,false,487,adsbexchange
2023-08-23,false,458,adsbexchange
2023-08-24,false,479,adsbexchange
2023-08-25,false,503,adsbexchange
2023-08-26,false,493,adsbexchange
2023-08-27,false,525,adsbexchange
2023-08-28,false,470,adsbexchange
2023-08-29,false,441,adsbexchange
2023-08-30,false,522,adsbexchange
2023-08-31,false,482,adsbexchange
2023-09-01,false,579,adsbexchange
2023-09-02,false,519,adsbexchange
2023-09-03,false,468,adsbexchange
2023-09-04,false,483,adsbexchange
2023-09-05,false,450,adsbexchange
2023-09-06,false,424,adsbexchange
2023-09-07,false,434,adsbexchange
2023-09-08,false,444,adsbexchange
2023-09-09,false,484,adsbexchange
2023-09-10,false,464,adsbexchange
2023-09-11,false,445,adsbexchange
2023-09-12,false,444,adsbexchange
2023-09-13,false,546,adsbexchange
2023-09-14,false,457,adsbexchange
2023-09-15,false,429,adsbexchange
2023-09-16,false,415,adsbexchange
2023-09-17,false,406,adsbexchange
2023-09-18,false,403,adsbexchange
2023-09-19,false,429,adsbexchange
2023-09-20,false,437,adsbexchange
2023-09-21,false,447,adsbexchange
2023-09-22,false,422,adsbexchange
2023-09-23,false,378,adsbexchange
2023-09-24,true,283,adsbexchange
2023-09-25,false,402,adsbexchange
2023-09-26,false,378,adsbexchange
2023-09-27,false,410,adsbexchange
2023-09-28,false,404,adsbexchange
2023-09-29,false,443,adsbexchange
2023-09-30,false,412,adsbexchange
2023-10-01,false,406,adsbexchange
2023-10-02,false,371,adsbexchange
2023-10-03,false,383,adsbexchange
2023-10-04,false,392,adsbexchange
2023-10-05,false,410,adsbexchange
2023-10-06,false,353,adsbexchange
2023-10-07,false,376,adsbexchange
2023-10-08,false,404,adsbexchange
2023-10-09,false,427,adsbexchange
2023-10-10,false,420,adsbexchange
2023-10-11,false,390,adsbexchange
2023-10-12,false,434,adsbexchange
2023-10-13,false,467,adsbexchange
2023-10-14,false,463,adsbexchange
2023-10-15,false,465,adsbexchange
2023-10-16,false,448,adsbexchange
2023-10-17,false,382,adsbexchange
2023-10-18,false,417,adsbexchange
2023-10-19,false,423,adsbexchange
2023-10-20,false,424,adsbexchange
2023-10-21,false,426,adsbexchange
2023-10-22,false,431,adsbexchange
2023-10-23,false,396,adsbexchange
2023-10-24,false,393,adsbexchange
2023-10-25,false,399,adsbexchange
2023-10-26,false,384,adsbexchange
2023-10-27,false,389,adsbexchange
2023-10-28,false,391,adsbexchange
2023-10-29,false,393,adsbexchange
2023-10-30,false,353,adsbexchange
2023-10-31,false,370,adsbexchange
2023-11-01,false,412,adsbexchange
2023-11-02,false,408,adsbexchange
2023-11-03,false,414,adsbexchange
2023-11-04,false,424,adsbexchange
2023-11-05,false,404,adsbexchange
2023-11-06,false,409,adsbexchange
2023-11-07,false,362,adsbexchange
2023-11-08,false,405,adsbexchange
2023-11-09,false,360,adsbexchange
2023-11-10,false,376,adsbexchange
2023-11-11,false,366,adsbexchange
2023-11-12,false,391,adsbexchange
2023-11-13,false,345,adsbexchange
2023-11-14,false,351,adsbexchange
2023-11-15,false,361,adsbexchange
2023-11-16,false,382,adsbexchange
2023-11-17,false,386,adsbexchange
2023-11-18,false,408,adsbexchange
2023-11-19,false,367,adsbexchange
2023-11-20,false,337,adsbexchange
2023-11-21,false,353,adsbexchange
2023-11-22,false,374,adsbexchange
2023-11-23,false,402,adsbexchange
2023-11-24,false,401,adsbexchange
2023-11-25,false,397,adsbexchange
2023-11-26,false,374,adsbexchange
2023-11-27,false,331,adsbexchange
2023-11-28,false,384,adsbexchange
