FID,ogc_fid,site_id,site_name,alamat,desa,kec,lat,long,jen_men,tinggi,jen_kons,metadata,srs_id,remark,namobj,fcode,objectid,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.55,55,16PTK053,nipah kuning,Jl Pramuka Gg. Kasturi RT.020 RW.007 Desa Sungai Rengas,Sungai Rengas,Sungai Kakap,-0.004722,109.262361,Green Field,52,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.262361111111 -0.0047222222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.56,56,16MPW041,desa korek (RD TO Tayan Ambawang 2),Dusun Jaya Paraya RT.03 RW.01 Desa Korek,Korek,Sungai Ambawang,-0.040101,109.540271,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.54027084 -0.04010096)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.57,57,16MPW044,dabung,Dusun Mekar Jaya RT.01 RW.01 Desa Dabung,Dabung,Kubu,-0.589417,109.256083,green field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.256083333333 -0.589416666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.58,58,16PTK038,parit_mayor/Kp Kapur,"Jl. Desa Kapur, RT. 01 RW.04, Kel.Kapur",Kapur,Sungai Raya,-0.062829,109.380935,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.38093469 -0.06282936)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.59,59,16MPW025,pancaroba,dusun 1 Desa Pancaroba RT.06 RW.01,Pancaroba,Sungai Ambawang,-0.030311,109.609984,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.609984 -0.030311)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.60,60,16MPW040,Kampung Jawa Tengah (rd To Tayan Ambawang 1),Jl Trans Kalimantan dusun Karya RT.01 RW.02 Desa Sungai Ambawang,Sungai Ambawang,Sungai Ambawang,-0.036008,109.463793,Green Field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.46379275 -0.0360077)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.61,61,16MPW043,Rd To Rasau Jaya,Jl Rasau Jaya Dusun III RT.26 RW.08,Rasau Jaya,Rasau Jaya,-0.211735,109.393508,green field,52,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.393508 -0.211735)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.62,62,16MPW050,kampung_kapur,"Jl. Desa Kapur , Kampung P. Pak Reweng RT.02 RW.05",Kapur,Sungai Raya,-0.080167,109.401472,Green Field,52,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.401472222222 -0.0801666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.63,63,16PTK062,rd_to_kakap,JL. Raya Sungai Kakap  Desa Pal IX,Pal IX,Sungai Kakap,-0.066306,109.242806,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.242805555556 -0.0663055555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.64,64,16PTK066,Teluk Mulus,"Jl. Adisucipto KM 9,8 Desa Sungai Raya",Sungai Raya,Sungai Raya,-0.093361,109.39275,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.39275 -0.0933611111111111)
